brand,model_name,os,price,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
Realme,Realme_4192,Android,117,2020,1664,2244,75.68,Glass,3,1,5.3,WiFi 6,Snapdragon 680,3,64,6.74,AMOLED,60,6560,18,13,8,Macro,178.2,7.42
Apple,Apple_6238,iOS,1354.41,2019,10198,12493,93.37,Plastic,4,1,5.3,WiFi 5,Tensor G3,8,64,6.82,OLED,90,3679,18,200,16,"Ultra-Wide, Macro",173.8,8.65
Apple,Apple_3190,iOS,834.66,2022,5629,7935,87.85,Glass,7,1,5.1,WiFi 5,Snapdragon 8 Gen 2,12,128,6.76,OLED,120,3404,25,50,32,"Telephoto, Depth, Wide",209,8.52
Realme,Realme_1963,Android,132.8,2025,495,1708,83.27,Plastic,7,1,5.2,WiFi 6,Helio G85,6,256,6.84,LCD,60,4797,100,50,16,Telephoto,197.8,7.42
Sony,Sony_4683,Android,480.41,2021,3898,4684,79.33,Plastic,7,2,5.3,WiFi 6E,Dimensity 900,12,256,6.74,LCD,60,3877,65,64,8,"Wide, Telephoto",225,8.83
Xiaomi,Xiaomi_1072,Android,125.91,2025,1055,395,92.6,Glass,4,2,5.2,WiFi 5,Helio G85,4,256,6.47,OLED,60,5242,33,50,50,Ultra-Wide,179.3,9.24
Samsung,Samsung_7099,Android,619.85,2025,4688,5701,90.64,Glass,6,2,5.2,WiFi 5,Snapdragon 778G,6,128,5.64,AMOLED,120,6051,65,50,50,"Telephoto, Macro, Ultra-Wide, Wide",165.7,7.05
Motorola,Motorola_8842,Android,343.23,2019,3791,3048,90.3,Plastic,5,1,5.1,WiFi 5,Dimensity 900,8,128,6.2,LCD,90,6180,33,64,50,"Macro, Depth",211.7,9.05
Apple,Apple_6448,iOS,1309.68,2021,9983,12802,81.13,Glass,3,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,12,128,6.01,AMOLED,120,3331,33,200,50,"Depth, Macro",178,8.08
Motorola,Motorola_5719,Android,236.44,2021,2334,1643,83.75,Plastic,2,2,5,WiFi 6,Snapdragon 680,6,128,6.67,AMOLED,60,3889,45,13,16,Wide,174.8,9.16
Oppo,Oppo_9964,Android,67.06,2023,803,1280,82.64,Glass,4,1,5.2,WiFi 6,Snapdragon 680,3,128,5.56,LCD,120,4358,25,50,32,"Depth, Wide, Ultra-Wide",216,7.89
Apple,Apple_1685,iOS,1164.5,2018,9101,10446,84.21,Glass,7,1,5.2,WiFi 6E,Snapdragon 8 Gen 2,16,64,5.66,OLED,60,3758,25,108,50,Telephoto,147.4,7.49
Xiaomi,Xiaomi_7272,Android,299.83,2021,2615,3086,87.3,Glass,2,2,5.3,WiFi 5,Exynos 1380,6,128,6.33,AMOLED,60,6449,65,50,32,Depth,202.5,8.4
Realme,Realme_3563,Android,230.05,2022,2518,2925,75.46,Metal,2,1,5.1,WiFi 6,Dimensity 6020,3,128,6.51,OLED,90,3865,45,13,16,"Wide, Ultra-Wide",154.8,8.99
Apple,Apple_6624,iOS,1421.79,2021,9653,13336,93.81,Glass,4,2,5,WiFi 6E,Tensor G3,16,256,5.92,AMOLED,120,3101,45,200,32,"Ultra-Wide, Depth",189.7,8.47
OnePlus,OnePlus_6347,Android,375.61,2025,2924,3544,86.2,Metal,6,2,5,WiFi 6,Dimensity 900,6,64,5.56,LCD,60,5709,100,108,8,"Depth, Ultra-Wide, Wide",176.1,7.16
Vivo,Vivo_2537,Android,113.5,2023,695,1169,82.12,Metal,4,1,4.2,WiFi 6E,Dimensity 6020,6,128,6.87,LCD,90,6150,33,48,16,"Ultra-Wide, Wide, Depth",194.2,8.07
Oppo,Oppo_6000,Android,396.9,2024,2792,3497,78.68,Plastic,5,2,5.1,WiFi 5,Dimensity 900,12,128,6.62,LCD,90,4349,33,64,50,"Telephoto, Wide",185.9,7.78
OnePlus,OnePlus_8544,Android,820.55,2020,6391,7227,91.52,Glass,2,1,5.1,WiFi 6,Snapdragon 8 Gen 2,8,128,6.24,OLED,144,5155,18,108,16,Macro,182.9,8.9
Motorola,Motorola_9179,Android,299.12,2023,2566,3737,77.22,Glass,7,2,5.2,WiFi 5,Snapdragon 778G,8,128,5.51,AMOLED,60,5694,25,108,32,"Depth, Macro, Wide",182.4,8.02
Xiaomi,Xiaomi_1264,Android,210.79,2025,1785,2414,86.86,Plastic,6,2,4.2,WiFi 6,Snapdragon 680,4,256,6.87,AMOLED,90,5455,45,48,8,Ultra-Wide,234.7,7.66
OnePlus,OnePlus_2846,Android,816.72,2024,6111,8459,87.68,Glass,7,1,5,WiFi 5,Snapdragon 8 Gen 2,8,64,6.84,LCD,120,4103,25,50,32,"Ultra-Wide, Depth",187.8,8.97
Xiaomi,Xiaomi_6463,Android,247.27,2022,1644,1978,82.89,Metal,5,2,5.3,WiFi 5,Dimensity 6020,3,64,5.51,LCD,60,4752,65,13,32,Telephoto,175,7.69
Xiaomi,Xiaomi_5658,Android,381.09,2023,2269,3606,75.23,Glass,5,1,5.1,WiFi 5,Snapdragon 778G,12,128,6.55,LCD,60,5409,45,64,32,"Telephoto, Depth",186.6,7.03
Apple,Apple_3606,iOS,1169.59,2021,8288,11005,91.94,Glass,5,2,5.2,WiFi 6,Tensor G3,16,128,6.31,OLED,60,3418,25,50,32,Depth,188.5,9.23
Xiaomi,Xiaomi_6619,Android,263.29,2018,2291,2208,82.12,Glass,6,1,5,WiFi 5,Dimensity 6020,4,64,6.18,LCD,120,3876,33,48,8,Wide,160.9,8.52
Realme,Realme_4630,Android,124.83,2021,1119,1148,84.67,Glass,3,2,5.1,WiFi 5,Dimensity 6020,6,128,6.37,LCD,60,4975,33,50,8,"Telephoto, Depth",178.6,7.88
Xiaomi,Xiaomi_2724,Android,347.84,2024,2107,2552,91.09,Metal,7,1,5.1,WiFi 6E,Snapdragon 778G,12,128,6.89,LCD,60,3892,25,64,32,Ultra-Wide,209.3,9.43
Apple,Apple_6776,iOS,1182.14,2024,9027,10848,83.03,Metal,7,2,5.1,WiFi 6,Tensor G3,12,128,6.07,LCD,120,3532,100,50,32,"Telephoto, Wide",187.3,7.75
Xiaomi,Xiaomi_8016,Android,336.4,2021,2079,3698,77.04,Plastic,4,1,4.2,WiFi 6E,Exynos 1380,8,64,6.5,OLED,120,5848,18,64,32,"Depth, Telephoto",245.2,7.33
Google,Google_6621,Android,826.99,2025,6783,7547,92.01,Plastic,2,2,5.1,WiFi 6,Snapdragon 8 Gen 2,8,256,6.43,OLED,120,5070,25,200,50,"Wide, Macro, Depth, Ultra-Wide",193.9,7.26
Oppo,Oppo_4841,Android,279.23,2023,2072,2471,94.27,Glass,7,1,5.2,WiFi 6E,Snapdragon 778G,8,128,5.62,LCD,90,5411,33,50,16,"Telephoto, Ultra-Wide",201.8,9.28
Oppo,Oppo_3204,Android,414.66,2019,3360,3890,76.51,Plastic,2,1,5,WiFi 6E,Snapdragon 778G,8,128,6.27,OLED,90,6009,45,64,50,"Wide, Telephoto, Depth",193.6,8.78
OnePlus,OnePlus_8557,Android,820.7,2023,5407,7515,76,Plastic,2,2,5.1,WiFi 5,Snapdragon 8 Gen 2,12,64,6.16,OLED,120,4128,100,200,50,"Depth, Macro",186.9,8.7
Motorola,Motorola_6366,Android,133.07,2025,1145,1767,91.71,Plastic,5,2,5.2,WiFi 6,Dimensity 6020,3,128,5.6,AMOLED,144,5438,100,48,32,"Macro, Ultra-Wide",178.4,9.44
Vivo,Vivo_4008,Android,415.14,2019,2891,4212,94.01,Plastic,4,2,5.1,WiFi 5,Snapdragon 778G,6,128,6.05,AMOLED,144,5080,25,50,50,"Ultra-Wide, Telephoto",201.8,8.04
Realme,Realme_4075,Android,223.65,2020,2012,805,76.09,Glass,7,1,5.3,WiFi 6E,Dimensity 6020,3,128,5.55,AMOLED,60,5541,33,50,8,"Ultra-Wide, Telephoto, Wide",182.7,8.93
Oppo,Oppo_9712,Android,270.76,2018,2747,2679,89.17,Metal,5,1,4.2,WiFi 6E,Dimensity 900,8,128,6.76,OLED,144,4521,33,108,32,"Telephoto, Ultra-Wide, Wide",218.4,7.05
Apple,Apple_2151,iOS,1314.55,2021,9042,12073,89.1,Metal,7,1,4.2,WiFi 5,Snapdragon 8 Gen 2,8,64,6.43,AMOLED,90,3721,33,200,16,Macro,212.8,8.97
Realme,Realme_7043,Android,280.88,2023,2016,2343,93.89,Plastic,5,2,5.1,WiFi 6,Dimensity 900,12,256,5.85,AMOLED,90,5055,25,50,50,"Depth, Macro, Ultra-Wide",177.2,7.84
Realme,Realme_7163,Android,252.01,2020,2474,2855,87.2,Plastic,4,2,5.1,WiFi 6,Snapdragon 680,3,128,5.87,LCD,90,4262,45,48,32,Ultra-Wide,169.9,7.19
Apple,Apple_9089,iOS,1163.79,2020,8824,10729,89.77,Metal,2,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,8,256,5.76,OLED,144,3240,45,200,32,"Telephoto, Wide, Depth",187.2,8.28
Oppo,Oppo_4641,Android,395.97,2020,2677,4120,83.88,Plastic,6,2,5.3,WiFi 6E,Snapdragon 778G,8,256,6.1,LCD,120,5682,100,50,50,"Depth, Wide, Ultra-Wide",182.2,8.03
Vivo,Vivo_3591,Android,224.05,2024,1433,2604,85.43,Plastic,3,1,4.2,WiFi 6E,Snapdragon 680,6,256,6.12,OLED,60,4916,33,13,32,Depth,205.6,9.18
Samsung,Samsung_3294,Android,387.54,2024,3157,3795,88.58,Metal,3,1,5.3,WiFi 6,Snapdragon 778G,8,64,6.26,LCD,90,5458,18,108,8,"Depth, Macro",197,7.78
Apple,Apple_4893,iOS,1313.68,2021,9928,11339,85.21,Metal,3,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,8,128,6.75,AMOLED,120,3410,65,50,32,"Depth, Telephoto",189,8.57
Google,Google_7239,Android,352.67,2020,2262,3327,90.33,Glass,3,1,5.3,WiFi 6,Exynos 1380,6,512,5.82,OLED,60,4399,45,108,50,"Depth, Wide",188.1,8.81
Xiaomi,Xiaomi_8404,Android,312.19,2020,2905,2699,88.19,Plastic,7,2,4.2,WiFi 6E,Dimensity 900,12,128,6.42,OLED,90,4173,33,108,50,"Wide, Ultra-Wide",198,7.78
Realme,Realme_1689,Android,227.69,2025,1814,1930,91.25,Plastic,7,2,5.1,WiFi 6E,Dimensity 6020,6,256,6.58,AMOLED,60,4848,25,13,32,"Wide, Ultra-Wide",160.3,7.1
Google,Google_4262,Android,1028.66,2020,7636,9260,88.5,Metal,7,2,5.1,WiFi 5,A17 Bionic,16,128,6.71,OLED,120,6415,25,200,16,"Depth, Telephoto",180.2,8.55
OnePlus,OnePlus_5108,Android,547.33,2022,3677,5026,87.14,Metal,7,2,5.1,WiFi 6E,Dimensity 900,8,128,6.67,LCD,60,5418,45,64,32,"Telephoto, Wide, Depth",216.6,9.38
Sony,Sony_9954,Android,305,2021,2243,3082,80.57,Metal,7,2,5.3,WiFi 6,Snapdragon 778G,12,128,6.69,LCD,60,5274,100,64,16,Wide,196.2,7.53
Realme,Realme_5774,Android,234.26,2022,2668,2476,88.16,Plastic,4,2,5,WiFi 6E,Snapdragon 680,3,128,6.65,LCD,90,6391,33,50,16,"Wide, Telephoto",183.6,8.35
Apple,Apple_5482,iOS,1063.41,2025,7587,9572,92.48,Metal,7,2,5.3,WiFi 5,Snapdragon 8 Gen 2,16,64,6.3,AMOLED,90,3317,65,108,50,"Depth, Telephoto",179.2,7.93
Oppo,Oppo_2117,Android,176.51,2019,2083,1556,77.47,Glass,2,1,5.2,WiFi 5,Helio G85,3,128,6.79,AMOLED,90,5691,65,50,32,"Wide, Macro, Ultra-Wide, Telephoto",220.4,7.94
Vivo,Vivo_5917,Android,125.33,2025,1538,2019,88.07,Glass,5,2,5.3,WiFi 6E,Dimensity 6020,4,256,5.68,AMOLED,60,5548,100,48,16,Telephoto,227,9.07
Motorola,Motorola_6698,Android,444.17,2019,3594,4489,76.11,Metal,4,2,4.2,WiFi 5,Dimensity 900,8,256,5.62,OLED,90,3889,18,108,16,"Macro, Telephoto",185.7,9.28
Vivo,Vivo_3672,Android,232.61,2020,1363,2998,86.21,Plastic,4,1,5.3,WiFi 6,Dimensity 6020,6,128,6.66,LCD,120,3543,33,48,16,"Telephoto, Ultra-Wide, Depth",195.4,8.46
Apple,Apple_4904,iOS,979.65,2018,7881,8871,81.56,Glass,6,1,4.2,WiFi 6,Tensor G3,8,256,6.88,AMOLED,144,2927,18,200,16,"Ultra-Wide, Macro",172.8,8.53
Samsung,Samsung_5670,Android,894.66,2020,6883,8937,82.47,Metal,3,1,5.1,WiFi 5,Snapdragon 8 Gen 2,12,64,6.17,AMOLED,90,5128,33,50,32,"Depth, Telephoto",191.1,7.29
Sony,Sony_7715,Android,495.31,2019,3694,5405,83.68,Metal,3,2,4.2,WiFi 5,Dimensity 900,8,256,6.84,LCD,120,6096,33,64,16,"Depth, Telephoto, Macro",218.6,8.07
Realme,Realme_4246,Android,291.91,2022,2503,3154,88.81,Glass,2,1,5.1,WiFi 6,Snapdragon 778G,8,512,6.06,AMOLED,60,6319,45,108,8,Macro,211.4,8.56
Samsung,Samsung_1016,Android,653.78,2024,4153,6522,80.59,Glass,3,1,5.3,WiFi 5,Dimensity 900,8,128,5.51,LCD,90,6251,18,64,50,Telephoto,198.2,8.03
Samsung,Samsung_1931,Android,489.38,2018,3882,5601,76.64,Plastic,5,2,5.3,WiFi 6,Snapdragon 778G,12,128,6.45,LCD,60,6254,18,64,50,"Ultra-Wide, Macro, Wide",172.8,9.24
Xiaomi,Xiaomi_6300,Android,401.36,2019,2766,4188,88.53,Plastic,7,2,4.2,WiFi 6,Exynos 1380,12,128,5.89,LCD,60,5444,25,50,50,Macro,238.6,8.63
Motorola,Motorola_5883,Android,208.33,2024,2181,1732,86.84,Plastic,6,2,5.3,WiFi 6,Dimensity 6020,3,128,6.69,LCD,120,4771,100,13,16,Wide,147.7,7.65
Realme,Realme_5651,Android,323.42,2019,1953,3692,80.09,Glass,7,1,5.3,WiFi 6E,Exynos 1380,6,128,6.33,LCD,120,5932,33,64,50,"Macro, Depth, Telephoto, Wide",165.1,8.15
Motorola,Motorola_8269,Android,84.47,2020,260,426,86.02,Glass,4,2,5.1,WiFi 5,Helio G85,3,128,6.44,AMOLED,60,5270,18,50,32,"Macro, Telephoto, Wide",171.2,8.25
Motorola,Motorola_4892,Android,205.17,2025,1387,2707,83.25,Glass,2,1,5.3,WiFi 6E,Snapdragon 680,4,256,6.32,AMOLED,60,4584,18,48,50,"Ultra-Wide, Wide",233.3,9.28
Xiaomi,Xiaomi_7106,Android,382.67,2021,3935,4161,92.44,Metal,6,2,5.1,WiFi 6,Exynos 1380,12,128,6.42,AMOLED,90,5138,100,64,8,"Ultra-Wide, Wide, Telephoto",200.2,8.45
Realme,Realme_5677,Android,341.11,2021,2742,2934,87.36,Metal,2,2,5.3,WiFi 6E,Dimensity 900,6,64,6.17,AMOLED,120,4434,100,108,16,"Telephoto, Wide, Macro, Ultra-Wide",208,7.44
Oppo,Oppo_9456,Android,299.79,2019,2951,2072,75.25,Metal,4,2,5.2,WiFi 5,Snapdragon 778G,8,128,5.6,LCD,144,3052,18,108,32,"Telephoto, Macro, Depth",159.8,7.55
Oppo,Oppo_2689,Android,289.86,2023,2646,2099,78.4,Metal,4,2,4.2,WiFi 5,Snapdragon 778G,12,512,5.78,LCD,60,2880,25,50,16,Ultra-Wide,217,7.32
Google,Google_8669,Android,847.21,2020,6470,8288,84.19,Glass,6,2,5.2,WiFi 6,A17 Bionic,16,128,6.6,OLED,90,5036,25,200,32,"Wide, Depth, Telephoto, Ultra-Wide",191,7.45
Google,Google_3693,Android,602.86,2020,4789,5488,76.22,Plastic,3,1,5,WiFi 6,Snapdragon 778G,6,128,5.84,AMOLED,60,4149,18,108,32,"Wide, Ultra-Wide, Telephoto",175.7,8.41
Motorola,Motorola_8209,Android,199.63,2020,2448,1249,76.63,Metal,3,2,4.2,WiFi 6,Helio G85,3,128,5.89,AMOLED,60,3633,45,50,50,"Macro, Wide",206.4,7.64
Vivo,Vivo_2174,Android,538.19,2022,4976,4492,89.52,Metal,3,1,5,WiFi 6E,Snapdragon 778G,6,64,5.69,AMOLED,60,3549,100,108,16,"Ultra-Wide, Wide",168.8,7.52
Xiaomi,Xiaomi_2030,Android,214.44,2020,2709,2003,85.21,Metal,7,2,5.2,WiFi 6E,Dimensity 6020,6,64,6.42,AMOLED,60,5123,25,50,16,"Macro, Telephoto",192.2,9.32
Xiaomi,Xiaomi_1382,Android,150.84,2018,1349,1515,77.84,Metal,3,2,5,WiFi 6E,Snapdragon 680,6,64,6.5,AMOLED,120,4104,65,13,32,"Depth, Macro, Ultra-Wide",182.1,8.28
Samsung,Samsung_8951,Android,514.37,2019,3415,5343,91.91,Plastic,5,2,5.1,WiFi 5,Dimensity 900,8,128,6.73,AMOLED,90,4854,45,50,8,"Depth, Wide, Macro",187.9,7.49
Vivo,Vivo_3741,Android,408.57,2022,2940,4560,94.78,Glass,3,1,5,WiFi 5,Exynos 1380,6,64,6.22,LCD,60,6164,18,64,32,"Wide, Depth, Ultra-Wide",206.1,7.69
Vivo,Vivo_2230,Android,346.06,2023,2670,3877,76.56,Metal,2,1,5.3,WiFi 5,Snapdragon 778G,12,128,5.91,AMOLED,60,3339,18,64,32,"Depth, Macro, Telephoto, Ultra-Wide",188.3,7.79
OnePlus,OnePlus_7678,Android,518.69,2019,3667,4969,94.63,Metal,7,1,5,WiFi 6E,Exynos 1380,8,64,6.13,OLED,90,6398,18,64,16,"Wide, Macro",171,7.46
Realme,Realme_5593,Android,222.39,2019,2214,2191,89.51,Metal,6,2,4.2,WiFi 5,Helio G85,4,128,5.69,LCD,60,5783,45,13,32,"Wide, Depth, Ultra-Wide",162.6,7.48
Samsung,Samsung_9926,Android,730.08,2021,5647,6649,76.74,Glass,2,2,5,WiFi 6,A17 Bionic,12,256,6.27,OLED,120,3887,18,108,8,"Depth, Wide",193.2,8.9
Oppo,Oppo_8367,Android,449.23,2022,3854,3764,84.65,Metal,4,2,5.2,WiFi 5,Exynos 1380,8,512,6.61,AMOLED,60,4546,45,50,16,Telephoto,191.1,7.97
Vivo,Vivo_9429,Android,493.51,2023,4262,4556,81.8,Metal,6,1,5.3,WiFi 6E,Dimensity 900,8,128,5.97,LCD,60,5520,100,64,50,"Ultra-Wide, Depth",198.7,9.34
OnePlus,OnePlus_5611,Android,485.84,2019,3205,4819,81.57,Metal,2,1,5.2,WiFi 5,Snapdragon 778G,6,128,5.87,AMOLED,60,5056,65,50,16,"Telephoto, Macro, Depth",172.1,8.21
Realme,Realme_8557,Android,185.91,2018,1336,934,83.58,Plastic,5,2,5.2,WiFi 6,Snapdragon 680,4,128,5.99,OLED,144,3347,45,48,50,"Macro, Wide, Telephoto",190.6,7.1
Xiaomi,Xiaomi_5620,Android,162.55,2025,1470,1404,76.12,Glass,2,2,5.3,WiFi 6,Dimensity 6020,6,128,6.42,LCD,90,4769,33,13,16,"Ultra-Wide, Wide",198.3,8.29
Xiaomi,Xiaomi_6481,Android,368.27,2025,3078,2938,93.88,Metal,6,1,5.3,WiFi 5,Exynos 1380,12,256,5.98,LCD,120,4630,33,64,8,Macro,198.2,7.77
Xiaomi,Xiaomi_7520,Android,310.97,2024,2252,2712,83.1,Glass,5,1,5.1,WiFi 5,Exynos 1380,6,512,6.55,OLED,90,5446,25,108,50,"Depth, Wide, Telephoto, Ultra-Wide",186.5,9.49
Xiaomi,Xiaomi_5567,Android,391.19,2025,1831,3389,85.72,Plastic,4,2,5.2,WiFi 6,Dimensity 900,8,128,5.58,AMOLED,120,5246,45,50,8,"Wide, Macro",168.1,7.64
Vivo,Vivo_7537,Android,335.38,2019,2443,3161,75.94,Glass,2,2,5.2,WiFi 5,Dimensity 900,6,128,6.36,LCD,90,4843,65,64,8,Macro,176.6,9.23
Xiaomi,Xiaomi_9032,Android,323.48,2018,1983,2451,76.74,Plastic,7,1,5.3,WiFi 5,Dimensity 900,8,128,6.8,OLED,90,3606,100,64,16,"Wide, Depth, Macro, Telephoto",182.6,9.06
Realme,Realme_2860,Android,308.06,2019,1871,1916,90.64,Plastic,4,2,5.1,WiFi 6E,Snapdragon 778G,6,512,5.9,AMOLED,90,4059,100,64,8,"Telephoto, Macro",183.3,7.26
