brand,os,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
Vivo,Android,2021,2389,3810,94.9,Metal,7,1,4.2,WiFi 5,Snapdragon 778G,6,128,6.01,LCD,120,4445,45,108,16,Other,211.7,9.28
OnePlus,Android,2024,4107,4819,82.04,Plastic,7,2,5.1,WiFi 5,Exynos 1380,8,128,6.72,LCD,120,5572,18,64,16,Other,196.2,8.92
Vivo,Android,2019,1324,1333,91.76,Plastic,5,2,4.2,WiFi 5,Helio G85,4,64,6.34,AMOLED,144,4438,33,48,8,"Macro, Wide",205.9,8.4
Apple,iOS,2022,8820,10938,81.52,Plastic,4,2,5.3,WiFi 5,Tensor G3,16,128,6.5,OLED,144,3954,33,108,16,Other,195.5,8.64
Samsung,Android,2018,2857,2401,91.43,Glass,5,1,5.2,WiFi 6E,Exynos 1380,8,256,6.53,LCD,120,6411,100,64,32,Depth,194.2,7.33
Oppo,Android,2018,827,1555,89.29,Glass,5,1,5.0,WiFi 5,Dimensity 6020,4,64,6.84,AMOLED,60,4172,25,48,8,"Depth, Telephoto",209.9,7.83
Sony,Android,2022,1551,624,75.07,Metal,5,1,5.0,WiFi 6E,Helio G85,6,64,6.13,LCD,120,4157,65,48,8,"Ultra-Wide, Macro",199.6,7.65
Motorola,Android,2018,2592,4503,82.15,Glass,7,2,5.1,WiFi 6,Snapdragon 778G,8,64,6.08,OLED,144,5100,25,64,16,Telephoto,201.8,7.42
OnePlus,Android,2025,4421,5815,94.49,Plastic,3,1,5.1,WiFi 6,Exynos 1380,6,256,6.29,LCD,60,5146,33,108,16,Other,226.4,9.37
Apple,iOS,2020,9596,11975,89.22,Metal,2,1,5.1,WiFi 5,Tensor G3,16,128,6.17,AMOLED,120,3196,45,50,16,Other,160.5,8.79
Google,Android,2024,4925,5086,88.73,Plastic,3,2,5.2,WiFi 6E,Snapdragon 778G,12,64,6.21,OLED,90,4783,18,108,16,"Depth, Macro",190.4,7.74
OnePlus,Android,2018,4766,6275,89.58,Glass,2,1,5.1,WiFi 6E,Snapdragon 778G,12,256,6.03,AMOLED,90,4964,45,50,16,"Telephoto, Ultra-Wide",186.7,8.99
Realme,Android,2022,1789,2969,89.39,Metal,4,2,5.2,WiFi 5,Dimensity 6020,6,256,6.76,AMOLED,90,3783,33,50,50,Wide,237.7,8.17
Motorola,Android,2025,3267,3968,86.24,Metal,4,2,5.3,WiFi 6E,Snapdragon 778G,12,128,5.55,AMOLED,120,5702,25,50,16,"Depth, Macro",156.7,8.18
Vivo,Android,2025,831,2541,90.21,Metal,6,1,5.3,WiFi 6E,Dimensity 6020,6,512,5.54,OLED,60,3606,25,13,16,Telephoto,192.8,7.01
Realme,Android,2021,3442,3310,84.91,Glass,3,1,4.2,WiFi 6E,Exynos 1380,12,256,6.2,AMOLED,90,5025,18,50,32,Other,216.8,8.88
Apple,iOS,2024,9863,12786,79.93,Glass,4,1,5.2,WiFi 6E,Snapdragon 8 Gen 2,12,128,6.7,OLED,144,3500,18,200,16,Depth,181.4,9.08
Oppo,Android,2020,2608,3370,78.82,Metal,2,2,5.2,WiFi 5,Dimensity 900,8,128,5.93,AMOLED,90,6419,45,64,32,Other,162.3,7.14
Xiaomi,Android,2021,1263,916,87.4,Metal,6,1,5.1,WiFi 5,Dimensity 6020,3,64,6.85,AMOLED,60,3415,65,48,32,Ultra-Wide,167.6,7.13
Vivo,Android,2018,1542,2757,83.84,Metal,4,1,5.3,WiFi 6E,Dimensity 6020,6,64,6.41,AMOLED,90,4242,18,50,32,Wide,176.0,7.98
Google,Android,2022,6668,9829,91.15,Plastic,4,2,4.2,WiFi 6E,A17 Bionic,8,256,5.69,OLED,90,3494,18,108,16,Telephoto,190.9,7.96
OnePlus,Android,2020,5991,7812,78.86,Plastic,2,2,5.0,WiFi 5,Snapdragon 8 Gen 2,8,64,6.63,AMOLED,90,5950,45,200,50,"Wide, Telephoto",173.6,8.38
Realme,Android,2020,2710,3497,84.5,Metal,3,1,5.1,WiFi 6E,Snapdragon 778G,12,128,5.99,LCD,144,5147,65,64,50,Other,185.9,7.81
Sony,Android,2019,2757,3206,94.33,Glass,3,1,5.2,WiFi 6E,Dimensity 900,6,128,6.66,OLED,90,5823,18,64,50,Ultra-Wide,179.8,8.48
Xiaomi,Android,2019,2501,4106,77.21,Metal,4,2,5.0,WiFi 5,Dimensity 900,6,512,6.26,LCD,90,4785,45,50,50,"Wide, Macro",206.7,8.25
Google,Android,2024,5376,7264,76.67,Metal,5,1,5.3,WiFi 5,Tensor G3,12,64,6.19,AMOLED,120,3750,18,200,50,"Macro, Ultra-Wide",195.7,9.31
Xiaomi,Android,2018,1349,1515,77.84,Metal,3,2,5.0,WiFi 6E,Snapdragon 680,6,64,6.5,AMOLED,120,4104,65,13,32,Other,182.1,8.28
OnePlus,Android,2020,2787,3664,81.08,Plastic,7,2,5.2,WiFi 6,Exynos 1380,6,64,5.9,LCD,60,4204,65,64,32,Telephoto,211.2,9.46
Vivo,Android,2019,720,1346,82.29,Metal,3,1,5.2,WiFi 6,Snapdragon 680,6,128,5.85,AMOLED,60,4610,25,13,8,Other,201.5,7.35
Apple,iOS,2018,7326,8913,78.73,Plastic,6,1,4.2,WiFi 5,Snapdragon 8 Gen 2,12,256,5.89,OLED,90,3200,18,50,50,Other,167.8,7.24
Apple,iOS,2019,10755,12702,82.87,Plastic,5,2,5.1,WiFi 6,Snapdragon 8 Gen 2,12,256,6.09,OLED,120,3509,65,200,50,Telephoto,173.4,7.78
Samsung,Android,2021,5923,7842,94.17,Metal,4,1,5.0,WiFi 6,Snapdragon 8 Gen 2,12,64,6.48,OLED,120,4208,33,200,50,"Macro, Telephoto",180.2,9.17
Google,Android,2020,3575,6686,83.4,Metal,7,1,5.2,WiFi 6E,Snapdragon 778G,12,128,6.22,OLED,120,5450,33,64,8,Other,200.3,9.37
Oppo,Android,2018,2289,2997,82.64,Glass,4,2,5.0,WiFi 6,Snapdragon 778G,6,128,6.62,LCD,90,7145,18,108,8,"Macro, Depth",165.4,9.18
Google,Android,2022,4619,5426,77.54,Metal,7,1,5.0,WiFi 6E,Exynos 1380,6,64,5.74,AMOLED,120,4946,65,64,8,Other,173.8,7.93
Vivo,Android,2021,3012,4217,94.34,Metal,2,2,5.0,WiFi 5,Snapdragon 778G,8,128,6.18,LCD,60,4923,18,64,8,Other,226.5,8.75
Oppo,Android,2018,4094,5021,80.81,Plastic,6,2,5.1,WiFi 6E,Snapdragon 778G,12,128,6.26,LCD,60,4299,33,64,8,Other,207.2,8.7
OnePlus,Android,2021,3456,4240,88.22,Glass,4,2,5.1,WiFi 5,Snapdragon 778G,8,64,6.14,AMOLED,60,5639,65,64,8,Other,177.1,8.55
Realme,Android,2020,2511,2261,94.4,Plastic,7,2,5.1,WiFi 6,Exynos 1380,6,128,5.99,OLED,144,4612,18,108,50,"Telephoto, Macro",197.8,8.74
Oppo,Android,2020,1774,3020,84.31,Metal,7,1,4.2,WiFi 6E,Exynos 1380,12,512,6.25,LCD,90,5198,33,64,16,"Macro, Ultra-Wide",196.6,9.02
Google,Android,2022,7989,8644,87.79,Plastic,6,2,5.3,WiFi 6E,A17 Bionic,16,128,6.65,OLED,90,5224,18,50,32,Other,189.1,7.1
OnePlus,Android,2023,5290,7921,90.31,Glass,3,2,5.2,WiFi 6,Snapdragon 8 Gen 2,12,256,6.24,OLED,144,4094,18,200,50,"Depth, Macro",175.0,7.6
Xiaomi,Android,2021,2568,3328,90.51,Glass,4,1,5.3,WiFi 6,Dimensity 900,12,64,6.44,AMOLED,60,5283,33,64,16,Macro,172.5,7.12
Apple,iOS,2021,8002,10313,79.57,Plastic,3,1,5.0,WiFi 6,A17 Bionic,16,64,5.5,OLED,120,3138,65,50,16,Other,196.2,7.45
Realme,Android,2019,2641,3680,89.31,Plastic,6,2,5.0,WiFi 6,Exynos 1380,12,64,6.88,AMOLED,60,4880,25,108,8,Macro,219.7,8.21
Xiaomi,Android,2018,2058,2781,83.79,Glass,6,2,5.2,WiFi 5,Snapdragon 778G,8,256,6.87,OLED,60,3177,33,108,8,Wide,151.8,9.19
Realme,Android,2019,1953,3692,80.09,Glass,7,1,5.3,WiFi 6E,Exynos 1380,6,128,6.33,LCD,120,5932,33,64,50,Other,165.1,8.15
Realme,Android,2024,1795,2362,85.87,Metal,2,1,4.2,WiFi 5,Exynos 1380,8,256,6.38,AMOLED,60,4542,25,64,32,"Depth, Macro",194.1,8.19
OnePlus,Android,2021,3413,4209,81.72,Metal,4,2,5.1,WiFi 6,Snapdragon 778G,6,64,6.06,AMOLED,90,5510,25,64,50,"Ultra-Wide, Telephoto",173.2,8.03
Realme,Android,2021,1936,3543,77.03,Plastic,2,2,5.3,WiFi 6E,Dimensity 900,6,64,6.61,AMOLED,90,4681,25,108,50,Depth,215.9,9.41
Motorola,Android,2019,1741,1689,86.12,Plastic,2,2,5.2,WiFi 5,Dimensity 6020,3,128,5.65,LCD,120,3761,18,13,50,"Macro, Wide",174.9,8.71
OnePlus,Android,2023,2822,3631,90.78,Plastic,6,1,5.2,WiFi 6,Snapdragon 778G,12,512,6.14,AMOLED,60,4352,25,64,32,Other,198.7,8.85
Realme,Android,2020,1637,2586,91.29,Plastic,4,2,5.0,WiFi 5,Dimensity 6020,3,256,6.09,AMOLED,60,4721,18,48,50,Depth,164.9,7.68
OnePlus,Android,2024,4907,4992,94.17,Plastic,2,2,5.0,WiFi 5,Snapdragon 778G,6,128,6.17,LCD,60,6408,65,50,16,"Telephoto, Wide",146.7,8.41
Sony,Android,2018,3366,3012,92.41,Plastic,4,1,5.0,WiFi 6E,Snapdragon 778G,8,256,5.89,AMOLED,90,5427,65,64,32,Other,173.0,8.61
Apple,iOS,2023,6859,8777,91.24,Plastic,4,1,5.2,WiFi 6,Snapdragon 8 Gen 2,8,128,6.38,AMOLED,90,3027,33,108,8,"Telephoto, Depth",175.3,7.46
Xiaomi,Android,2018,2028,2950,80.99,Plastic,4,1,5.2,WiFi 6E,Exynos 1380,6,64,5.66,LCD,60,5155,65,108,32,Other,172.2,7.52
Google,Android,2021,4958,6305,91.63,Plastic,4,2,5.3,WiFi 6E,A17 Bionic,8,128,5.65,OLED,144,4961,25,108,16,Other,183.1,8.71
Xiaomi,Android,2021,2240,1665,85.35,Metal,6,2,5.2,WiFi 5,Helio G85,6,256,6.42,LCD,60,5102,45,13,50,"Telephoto, Macro",190.5,8.94
Google,Android,2025,4726,5285,79.48,Glass,5,1,5.0,WiFi 5,Snapdragon 778G,12,128,5.72,LCD,60,4421,18,50,32,"Telephoto, Macro",213.5,8.99
Oppo,Android,2023,2571,3728,78.94,Plastic,4,2,4.2,WiFi 6,Exynos 1380,8,512,6.56,AMOLED,90,4350,65,50,16,Other,194.2,8.22
OnePlus,Android,2021,5856,8935,83.09,Metal,3,1,5.3,WiFi 6,Tensor G3,8,512,6.44,LCD,120,4166,100,108,32,"Macro, Depth",205.7,8.48
Vivo,Android,2023,789,108,82.73,Glass,3,1,5.1,WiFi 6,Dimensity 6020,3,512,6.76,LCD,90,4617,65,13,50,Ultra-Wide,185.3,8.63
Apple,iOS,2025,9123,12942,77.66,Metal,4,1,5.2,WiFi 6,Snapdragon 8 Gen 2,16,64,5.89,AMOLED,120,3490,45,108,8,"Wide, Macro",191.1,7.5
Sony,Android,2022,1342,1241,78.68,Glass,6,1,5.3,WiFi 6E,Helio G85,4,256,5.8,OLED,90,4538,18,50,32,Other,164.8,8.2
Xiaomi,Android,2019,1185,2280,80.12,Plastic,6,1,5.3,WiFi 6,Dimensity 6020,6,64,6.32,LCD,144,4304,18,13,32,Other,195.9,8.89
Realme,Android,2023,1974,2205,81.32,Glass,3,2,5.0,WiFi 6,Dimensity 6020,6,512,6.51,AMOLED,90,3113,18,50,16,Other,206.8,7.52
Motorola,Android,2021,1135,2461,76.31,Metal,2,1,5.3,WiFi 6E,Snapdragon 778G,6,128,6.76,AMOLED,60,4468,65,108,16,Macro,182.5,8.47
Vivo,Android,2019,3204,4008,92.94,Metal,6,1,4.2,WiFi 6E,Exynos 1380,12,128,6.2,LCD,90,5821,25,50,8,"Wide, Depth",213.8,7.73
