brand,os,price,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm,gpu_per_cpu
Motorola,Android,208.33,2024,2181,1732,86.84,Plastic,6,2,5.3,WiFi 6,Dimensity 6020,3,128,6.69,LCD,120,4771,100,13,16,Wide,147.7,7.65,1.2592378752886837
Realme,Android,323.42,2019,1953,3692,80.09,Glass,7,1,5.3,WiFi 6E,Exynos 1380,6,128,6.33,LCD,120,5932,33,64,50,Other,165.1,8.15,0.5289815817984832
Motorola,Android,84.47,2020,260,426,86.02,Glass,4,2,5.1,WiFi 5,Helio G85,3,128,6.44,AMOLED,60,5270,18,50,32,Other,171.2,8.25,0.6103286384976526
Motorola,Android,205.17,2025,1387,2707,83.25,Glass,2,1,5.3,WiFi 6E,Snapdragon 680,4,256,6.32,AMOLED,60,4584,18,48,50,"Ultra-Wide, Wide",233.3,9.28,0.5123753232360547
Xiaomi,Android,382.67,2021,3935,4161,92.44,Metal,6,2,5.1,WiFi 6,Exynos 1380,12,128,6.42,AMOLED,90,5138,100,64,8,Other,200.2,8.45,0.9456861331410719
Realme,Android,341.11,2021,2742,2934,87.36,Metal,2,2,5.3,WiFi 6E,Dimensity 900,6,64,6.17,AMOLED,120,4434,100,108,16,Other,208.0,7.44,0.934560327198364
Oppo,Android,299.79,2019,2951,2072,75.25,Metal,4,2,5.2,WiFi 5,Snapdragon 778G,8,128,5.6,LCD,144,3052,18,108,32,Other,159.8,7.55,1.4242277992277992
Oppo,Android,289.86,2023,2646,2099,78.4,Metal,4,2,4.2,WiFi 5,Snapdragon 778G,12,512,5.78,LCD,60,2880,25,50,16,Ultra-Wide,217.0,7.32,1.2606002858504048
Google,Android,847.21,2020,6470,8288,84.19,Glass,6,2,5.2,WiFi 6,A17 Bionic,16,128,6.6,OLED,90,5036,25,200,32,Other,191.0,7.45,0.7806467181467182
Google,Android,602.86,2020,4789,5488,76.22,Plastic,3,1,5.0,WiFi 6,Snapdragon 778G,6,128,5.84,AMOLED,60,4149,18,108,32,Other,175.7,8.41,0.872631195335277
Motorola,Android,199.63,2020,2448,1249,76.63,Metal,3,2,4.2,WiFi 6,Helio G85,3,128,5.89,AMOLED,60,3633,45,50,50,"Macro, Wide",206.4,7.64,1.9599679743795035
Vivo,Android,538.19,2022,4976,4492,89.52,Metal,3,1,5.0,WiFi 6E,Snapdragon 778G,6,64,5.69,AMOLED,60,3549,100,108,16,"Ultra-Wide, Wide",168.8,7.52,1.107747105966162
Xiaomi,Android,214.44,2020,2709,2003,85.21,Metal,7,2,5.2,WiFi 6E,Dimensity 6020,6,64,6.42,AMOLED,60,5123,25,50,16,"Macro, Telephoto",192.2,9.32,1.3524712930604095
Xiaomi,Android,150.84,2018,1349,1515,77.84,Metal,3,2,5.0,WiFi 6E,Snapdragon 680,6,64,6.5,AMOLED,120,4104,65,13,32,Other,182.1,8.28,0.8904290429042905
Samsung,Android,514.37,2019,3415,5343,91.91,Plastic,5,2,5.1,WiFi 5,Dimensity 900,8,128,6.73,AMOLED,90,4854,45,50,8,Other,187.9,7.49,0.6391540333146173
Vivo,Android,408.57,2022,2940,4560,94.78,Glass,3,1,5.0,WiFi 5,Exynos 1380,6,64,6.22,LCD,60,6164,18,64,32,Other,206.1,7.69,0.6447368421052632
Vivo,Android,346.06,2023,2670,3877,76.56,Metal,2,1,5.3,WiFi 5,Snapdragon 778G,12,128,5.91,AMOLED,60,3339,18,64,32,Other,188.3,7.79,0.6886768119680166
OnePlus,Android,518.69,2019,3667,4969,94.63,Metal,7,1,5.0,WiFi 6E,Exynos 1380,8,64,6.13,OLED,90,6398,18,64,16,"Wide, Macro",171.0,7.46,0.7379754477762125
Realme,Android,222.39,2019,2214,2191,89.51,Metal,6,2,4.2,WiFi 5,Helio G85,4,128,5.69,LCD,60,5783,45,13,32,Other,162.6,7.48,1.0104974897307166
Samsung,Android,730.08,2021,5647,6649,76.74,Glass,2,2,5.0,WiFi 6,A17 Bionic,12,256,6.27,OLED,120,3887,18,108,8,"Depth, Wide",193.2,8.9,0.8493006467137916
Oppo,Android,449.23,2022,3854,3764,84.65,Metal,4,2,5.2,WiFi 5,Exynos 1380,8,512,6.61,AMOLED,60,4546,45,50,16,Telephoto,191.1,7.97,1.0239107332624866
Vivo,Android,493.51,2023,4262,4556,81.8,Metal,6,1,5.3,WiFi 6E,Dimensity 900,8,128,5.97,LCD,60,5520,100,64,50,"Ultra-Wide, Depth",198.7,9.34,0.9354697102721685
OnePlus,Android,485.84,2019,3205,4819,81.57,Metal,2,1,5.2,WiFi 5,Snapdragon 778G,6,128,5.87,AMOLED,60,5056,65,50,16,Other,172.1,8.21,0.6650757418551567
Realme,Android,185.91,2018,1336,934,83.58,Plastic,5,2,5.2,WiFi 6,Snapdragon 680,4,128,5.99,OLED,144,3347,45,48,50,Other,190.6,7.1,1.430406852248394
Xiaomi,Android,162.55,2025,1470,1404,76.12,Glass,2,2,5.3,WiFi 6,Dimensity 6020,6,128,6.42,LCD,90,4769,33,13,16,"Ultra-Wide, Wide",198.3,8.29,1.047008547008547
Xiaomi,Android,368.27,2025,3078,2938,93.88,Metal,6,1,5.3,WiFi 5,Exynos 1380,12,256,5.98,LCD,120,4630,33,64,8,Macro,198.2,7.77,1.047651463580667
Xiaomi,Android,310.97,2024,2252,2712,83.1,Glass,5,1,5.1,WiFi 5,Exynos 1380,6,512,6.55,OLED,90,5446,25,108,50,Other,186.5,9.49,0.8303834808259587
Xiaomi,Android,391.19,2025,1831,3389,85.72,Plastic,4,2,5.2,WiFi 6,Dimensity 900,8,128,5.58,AMOLED,120,5246,45,50,8,"Wide, Macro",168.1,7.64,0.540277367955149
Vivo,Android,335.38,2019,2443,3161,75.94,Glass,2,2,5.2,WiFi 5,Dimensity 900,6,128,6.36,LCD,90,4843,65,64,8,Macro,176.6,9.23,0.7728566909205947
Xiaomi,Android,323.48,2018,1983,2451,76.74,Plastic,7,1,5.3,WiFi 5,Dimensity 900,8,128,6.8,OLED,90,3606,100,64,16,Other,182.6,9.06,0.8090575275397797
Realme,Android,308.06,2019,1871,1916,90.64,Plastic,4,2,5.1,WiFi 6E,Snapdragon 778G,6,512,5.9,AMOLED,90,4059,100,64,8,"Telephoto, Macro",183.3,7.26,0.9765135699373695
Realme,Android,189.18,2019,1138,1382,77.39,Plastic,7,1,5.2,WiFi 6E,Helio G85,6,64,6.3,OLED,90,4331,18,48,8,Other,218.5,7.61,0.8234442836468886
Oppo,Android,256.64,2020,1417,2859,90.21,Glass,2,1,5.3,WiFi 6E,Helio G85,6,256,6.35,LCD,90,5116,45,48,16,Other,176.8,8.04,0.4956278419027632
Samsung,Android,944.46,2021,5840,9702,82.94,Glass,6,1,5.1,WiFi 5,A17 Bionic,12,128,5.94,LCD,120,4984,25,108,16,"Macro, Depth",187.9,9.03,0.6019377447948876
Realme,Android,199.04,2025,1482,2413,80.93,Metal,3,1,5.2,WiFi 6,Dimensity 6020,6,64,6.15,LCD,144,5323,18,48,50,Other,204.3,7.28,0.6141732283464567
Google,Android,757.12,2025,4775,6530,75.43,Metal,3,1,4.2,WiFi 6E,A17 Bionic,12,64,5.57,AMOLED,90,4450,100,200,50,Other,161.3,7.28,0.7312404287901991
Google,Android,1176.52,2019,9322,10956,89.74,Glass,3,2,5.1,WiFi 6,Tensor G3,16,128,5.94,OLED,60,4945,33,50,8,Other,194.6,8.79,0.8508579773640015
